url,page_type,pillar,index,nav,file
/,hub,none,true,primary,pages/home.md
/how-it-works,hub,none,true,primary,pages/how-it-works.md
/about,hub,none,true,primary,pages/about.md
/therapy,hub,wisdom,true,primary,pages/therapy.md
/therapy/individual-therapy,service,wisdom,true,secondary,pages/therapy/individual-therapy.md
/therapy/couples-therapy,service,wisdom,true,secondary,pages/therapy/couples-therapy.md
/therapy/child-therapy,service,wisdom,true,secondary,pages/therapy/child-therapy.md
/therapy/teen-therapy,service,wisdom,true,secondary,pages/therapy/teen-therapy.md
/therapy/family-therapy,service,wisdom,true,secondary,pages/therapy/family-therapy.md
/therapy/group-therapy,service,wisdom,true,secondary,pages/therapy/group-therapy.md
/therapy/emdr,service,wisdom,true,secondary,pages/therapy/emdr.md
/therapy/trauma-therapy,service,wisdom,true,secondary,pages/therapy/trauma-therapy.md
/therapy/grief-therapy,service,wisdom,true,secondary,pages/therapy/grief-therapy.md
/therapy/hypnotherapy,service,wisdom,true,secondary,pages/therapy/hypnotherapy.md
/therapy/ifs,service,wisdom,true,secondary,pages/therapy/ifs.md
/therapy/somatic-therapy,service,wisdom,true,secondary,pages/therapy/somatic-therapy.md
/therapy/ketamine-assisted-therapy,service,wisdom,true,secondary,pages/therapy/ketamine-assisted-therapy.md
/therapy/pcit,service,wisdom,true,secondary,pages/therapy/pcit.md
/therapy/veterans-first-responders,service,wisdom,true,secondary,pages/therapy/veterans-first-responders.md
/therapy/bariatric-surgery-support,service,wisdom,true,secondary,pages/therapy/bariatric-surgery-support.md
/coaching,service,wisdom,true,primary,pages/coaching.md
/medication-management,service,medication,true,primary,pages/medication-management.md
/wellness,hub,wellness,true,primary,pages/wellness.md
/wellness/massage,service,wellness,true,secondary,pages/wellness/massage.md
/wellness/acupuncture,service,wellness,true,secondary,pages/wellness/acupuncture.md
/wellness/cupping,service,wellness,true,secondary,pages/wellness/cupping.md
/wellness/energy-work,service,wellness,true,secondary,pages/wellness/energy-work.md
/wellness/energy-work/reiki,service,wellness,true,none,pages/wellness/reiki.md
/wellness/energy-work/iet,service,wellness,true,none,pages/wellness/iet.md
/wellness/cryotherapy,service,wellness,true,secondary,pages/wellness/cryotherapy.md
/wellness/iv-vitamin-therapy,service,wellness,false,none,pages/wellness/iv-vitamin-therapy.md
/concerns,hub,wisdom,true,primary,pages/concerns.md
/concerns/anxiety,concern,wisdom,true,none,pages/concerns/anxiety.md
/concerns/depression,concern,wisdom,true,none,pages/concerns/depression.md
/concerns/adhd,concern,wisdom,true,none,pages/concerns/adhd.md
/concerns/ocd,concern,wisdom,true,none,pages/concerns/ocd.md
/concerns/ptsd,concern,wisdom,true,none,pages/concerns/ptsd.md
/concerns/grief-and-loss,concern,wisdom,true,none,pages/concerns/grief-and-loss.md
/concerns/relationship-issues,concern,wisdom,true,none,pages/concerns/relationship-issues.md
/concerns/postpartum-and-perinatal,concern,wisdom,true,none,pages/concerns/postpartum-and-perinatal.md
/concerns/stress-and-burnout,concern,wisdom,true,none,pages/concerns/stress-and-burnout.md
/concerns/life-transitions,concern,wisdom,true,none,pages/concerns/life-transitions.md
/concerns/self-esteem,concern,wisdom,true,none,pages/concerns/self-esteem.md
/concerns/bipolar-disorder,concern,wisdom,true,none,pages/concerns/bipolar-disorder.md
/concerns/lgbtqia-affirming-therapy,concern,wisdom,true,none,pages/concerns/lgbtqia-affirming-therapy.md
/concerns/substance-use,concern,wisdom,true,none,pages/concerns/substance-use.md
/concerns/chronic-pain-and-illness,concern,wisdom,true,none,pages/concerns/chronic-pain-and-illness.md
/insurance-and-fees,hub,none,true,primary,pages/insurance-and-fees.md
/insurance/aetna,insurance,none,true,none,pages/insurance/aetna.md
/insurance/cigna,insurance,none,true,none,pages/insurance/cigna.md
/insurance/optum,insurance,none,true,none,pages/insurance/optum.md
/insurance/unitedhealthcare,insurance,none,true,none,pages/insurance/unitedhealthcare.md
/insurance/oxford,insurance,none,true,none,pages/insurance/oxford.md
/insurance/umr,insurance,none,true,none,pages/insurance/umr.md
/insurance/oscar,insurance,none,true,none,pages/insurance/oscar.md
/insurance/1199seiu,insurance,none,true,none,pages/insurance/1199seiu.md
/insurance/magnacare,insurance,none,true,none,pages/insurance/magnacare.md
/insurance/medicare,insurance,none,true,none,pages/insurance/medicare.md
/insurance/northwell-direct,insurance,none,true,none,pages/insurance/northwell-direct.md
/insurance/carelon,insurance,none,true,none,pages/insurance/carelon.md
/insurance/anthem-blue-cross,insurance,none,true,none,pages/insurance/anthem-blue-cross.md
/insurance/va-community-care,insurance,none,true,none,pages/insurance/va-community-care.md
/insurance/local-810,insurance,none,true,none,pages/insurance/local-810.md
/insurance/nyship,insurance,none,true,none,pages/insurance/nyship.md
/providers,hub,none,true,primary,pages/providers.md
/providers/{slug},provider,none,true,none,pages/_provider-template.md
/providers/rachel-lessard,provider,none,true,none,pages/providers/rachel-lessard.md
/providers/tiffany-roberts,provider,medication,true,none,pages/providers/tiffany-roberts.md
/locations,hub,none,true,primary,pages/locations.md
/locations/rockville-centre,location,none,true,none,pages/locations/rockville-centre.md
/locations/garden-city,location,none,true,none,pages/locations/garden-city.md
/locations/massapequa,location,none,true,none,pages/locations/massapequa.md
/locations/smithtown,location,none,true,none,pages/locations/smithtown.md
/locations/port-jefferson,location,none,true,none,pages/locations/port-jefferson.md
/telehealth,service,wisdom,true,primary,pages/telehealth.md
/faq,hub,none,true,secondary,pages/faq.md
/resources,hub,none,true,secondary,pages/resources.md
/blog,hub,none,true,secondary,pages/blog.md
/blog/a-new-way-podcast,resource,none,true,none,pages/blog/a-new-way-podcast.md
/contact,hub,none,true,primary,pages/contact.md
